lipid.class,ion,count,median,unique.lipids
15:0-18:1,"-15:0_TAG+NH4",1,89817300.19,1
TG,"+NH4",118,3351592.82,70
TG,"+Na",44,4159970.87,14
TG,"+H",42,3490016.44,13
PG,"-H",5,181554.32,5
AEA,"+NH4",1,5514.58,1
PA,"-H",3,29773.24,3
DG,"+NH4",19,187966.28,14
DG,"+H",25,736697.73,14
AcCa,"+H",11,12161.13,10
MLCL,"-2H",4,40435.01,2
LPC,"+HCOO",2,65202.58,0
LPC,"+H",13,56117.03,12
Hex1Cer,"+H-H2O",2,80830.62,1
Hex1Cer,"+HCOO",4,482186.82,4
Hex1Cer,"+H",2,62180.99,1
MG,"+NH4",1,116022.49,1
MG,"+H",5,183480.78,5
ChE,"+NH4",2,83063.73,2
ChE,"+H-H2O",8,517326.68,1
SPHP,"+H-H2O",3,8158.05,1
PC,"+HCOO",23,2449949.42,9
PC,"+Cl",3,58581.93,2
PC,"+K",4,314515.09,2
PC,"+Na",74,648230.07,23
PC,"+H",240,1485412.98,74
GM3,"-H",1,40412.15,1
SM,"+HCOO",22,217473.45,18
SM,"+Na",4,68488.24,2
SM,"+H",52,690844.63,31
PE,"-H",92,301710.21,49
PE,"+K",9,2612250.15,8
PE,"+H",70,507664.74,33
PE,"+Na",27,480417.29,13
LPE,"+H",3,69849.27,3
LPE,"-H",9,18407.01,8
PI,"+NH4",8,308271.06,4
PI,"+Na",8,645885.87,2
PI,"+H",10,328004.34,5
PI,"-H",37,250350.73,16
Cer,"+HCOO",4,38284.63,3
Cer,"+H-H2O",14,76968.27,11
Cer,"-H",3,55763.23,3
Cer,"+H",12,137334.23,11
PS,"+Na",4,930672.55,3
PS,"+H",11,2592577.07,5
PS,"-H",89,401608.45,50
CL,"-H",15,110702.76,13
SPH,"+H",1,2643.92,1
ZyE,"+H-H2O",1,5036.36,1
